Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5581192.071637785,-109.51295209501582
150,144684.68796911908,-15.929905299383682
250,165114.1187149883,-6.377678248768286
350,185428.49673519563,-17.326581299506397
450,195247.16979804973,-17.6337952780498
550,176091.6766849315,-22.28038280213738
650,162166.99907865265,-28.20170511178699
750,142148.00549407452,-29.26105604987702
850,123502.99583805549,-36.364935814765715
950,110782.6812058082,-36.8617008046317
1050,98028.14077995466,-41.926676271449175
