Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,275841.3908887899,-20.561547478992615
150,212903.2675394014,-24.222498413979725
250,191119.60169373296,-27.600925989672845
350,176576.76356384356,-30.8455028180027
450,164222.62995269135,-33.858814278829776
550,154978.5657417637,-36.74432275216933
650,146828.35345223293,-39.734996454206645
750,140410.22273595384,-42.496915515583964
850,133858.11573773288,-45.378856802891676
950,129564.2087981612,-47.58577483674362
1050,124279.60866910097,-49.9289775871407
