Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5235076.893336801,10.612712337118074
150,298940.4578655368,-0.09753454744887094
250,265470.9999623944,-17.961486507555758
350,273143.36309631093,-20.97324596992583
450,265712.1552665018,-21.694907194083044
550,238978.53791268414,-22.630680258734902
650,216884.80768832727,-25.707254159804446
750,190088.54025087922,-28.619603730102384
850,255711.54789654215,-51.05514985118874
950,223908.33301025853,-61.732808419954246
1050,214122.3206704362,-54.631458239799755
