Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,24102390.7868736,-44.18010115742823
150,10287488.451333467,-77.21963064952423
250,6291066.292647987,-81.1321040643794
350,5250024.168302999,-83.44018372444704
450,3959282.831557332,-85.77250865897832
550,3285876.008961503,-88.95115491517694
650,2779605.148235038,-92.42352084115164
750,2443680.959201972,-94.89400240220839
850,2135462.9968052646,-97.57652513335964
950,1976512.4143961414,-100.38166524021952
1050,1793246.9860256393,-102.17495185522301
