Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,118410.49422382865,-31.761487161218696
150,4874.5265878361515,-3.199797850572334
250,1699.5009441803554,-25.304084066642922
350,1537.5871392070228,-10.42710688670713
450,1549.4638468150392,-15.804837191985467
550,1503.9080409717003,-11.597933131217397
650,1572.2629400004187,-13.545857008721306
750,1534.7372375992413,-12.563350699515563
850,1529.5453177301467,-14.340967052035273
950,1506.1379175061554,-14.911016989111342
1050,1513.0890052227892,-16.00777769116525
