Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13565049.760871056,-60.33150051840332
150,5308538.000937049,-79.38099058452437
250,3407540.9545398974,-78.97815195371102
350,2552303.5590004334,-80.72344707587456
450,2060824.697167986,-83.01425464123463
550,1736986.5361688826,-85.371487655048
650,1474686.8122494179,-87.72407518445705
750,1298185.2803321187,-89.87591694171546
850,1147410.9709711482,-92.19581645177077
950,1056972.5428516509,-93.80671559021887
1050,962490.0464174872,-96.05755268332967
