Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,224626.47129598694,-28.20274669600954
150,159581.01096554621,-27.2055658871373
250,143508.31495456627,-28.538204964614394
350,133616.16128215453,-30.62856076459522
450,126011.2111657634,-33.20424660858837
550,120956.81755242267,-35.786417501517526
650,115252.24761970916,-38.54701677281102
750,110557.03838793303,-40.99263782211149
850,105260.87187941036,-43.775658912825484
950,102255.79011857655,-45.80423270229622
1050,98361.3774361065,-47.74899199868867
