Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,236542.22420410902,-30.9063326705371
150,168325.0407981719,-26.734718295369852
250,152230.1456833284,-26.96872948842063
350,143324.51700334324,-28.82608986733164
450,136528.78263064995,-31.207260282303086
550,130256.52091742876,-33.71466558833918
650,124299.4965485464,-36.48627818457798
750,119827.05411287551,-38.99417731403631
850,115136.82231283456,-41.83044439312844
950,112194.58530142406,-43.92307363868531
1050,108061.325884856,-46.054676044002925
