Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,21374340.953917295,-63.238369990693826
150,9526044.582713805,-65.89797280865953
250,6052348.096699839,-71.9125729940129
350,5320945.86808666,-73.49926561171252
450,4323874.056090337,-78.54925079317385
550,3723019.002924638,-85.57778513423011
650,3229262.1764430855,-91.9655672576714
750,2859859.446953933,-96.36848471246488
850,2569500.662155511,-101.94904288918194
950,2481658.0651265294,-110.71135760328723
1050,2219696.1040644604,-113.82300523916199
