Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,208208.8297746993,-24.056891878198336
150,154945.18377961172,-25.83733260361791
250,138529.34251100884,-28.01472060052502
350,128269.0354891671,-30.96398951800356
450,120073.69547164242,-34.12309723928977
550,114173.91367951535,-37.236935873097146
650,108563.9479388736,-40.703080536527935
750,104027.33208150273,-43.76749817687497
850,99603.60855785637,-47.13662439591979
950,96686.08922760944,-49.59266717673281
1050,92920.23808002738,-52.187305761934596
