Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,7733872.770630827,-59.110316269222814
150,3173180.5466995416,-78.06032423239091
250,2037378.244238283,-77.55306519514716
350,1527987.6646608647,-77.68613239052475
450,1240846.6558267898,-78.61622001450796
550,1050103.3676966003,-79.75256051598177
650,907820.9714195108,-81.35783864662142
750,808756.6351935184,-82.73134072267007
850,725691.5740768462,-84.63401466478084
950,670885.3068912738,-85.78361637013103
1050,614382.6507179615,-87.26354857655595
