Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12505196.623512257,-21.405499817217525
150,7210135.164100072,-50.449726538671975
250,5041599.278255831,-55.71552656982034
350,3915477.3946475834,-61.53211397825236
450,3275035.7854282605,-67.45513459280737
550,2823448.726167347,-72.73252089663934
650,2435139.457203275,-77.13144747285453
750,2334389.8009480257,-81.08162921785613
850,2064063.4344705902,-83.70922568111149
950,1714063.9547833458,-82.89328427238576
1050,1734387.9666417392,-87.38590184621474
