Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13936380.250335718,1.1391978960536429
150,12011548.083556455,-31.31219654073986
250,9073463.45061692,-50.84424985389195
350,6950656.071848738,-60.707080471217736
450,5837038.344369218,-70.46268635441494
550,4972432.068383126,-78.05729780784904
650,4251521.3086961135,-86.44451083531922
750,3714810.938923597,-91.08816074948645
850,3253224.5128266085,-95.91899090399966
950,2982054.3583477386,-100.0806242001847
1050,2687583.383541688,-104.17692097002151
