Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,15380229.64625872,-31.15868013214349
150,7711426.791734569,-62.96498871462736
250,5264510.20924536,-71.71959732736876
350,4065775.4460848486,-78.62387404899691
450,3304766.9797208803,-83.00748575295178
550,2792843.588120964,-87.04374571760437
650,2346762.6275355197,-91.7873904696319
750,2033873.1979004766,-94.40671968176169
850,1786744.7481036086,-97.40346643564776
950,1639230.8407222491,-99.72262457801165
1050,1496928.61525265,-103.09372558674826
