Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,252074.2733067454,-22.295173578454037
150,201950.90532422118,-23.614164368379576
250,181506.5098122084,-26.811107982745817
350,168272.75245312884,-29.95201770221554
450,157921.3734172363,-32.94913992229824
550,149569.32373776342,-35.798362182721554
650,141999.37723397836,-38.78094803021187
750,136511.72854669817,-41.50446094162172
850,130113.76405551666,-44.423934075420796
950,126214.87669308468,-46.55971506330024
1050,121848.32960545742,-49.340490644853844
