Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,971653.9702017601,25.961641376299426
150,94599.26136632421,-1.9684145118026573
250,75536.43130524339,-21.98189797216798
350,54976.280840245454,-22.43217052875979
450,54012.48118006795,-18.7138799000161
550,52727.728855760055,-20.034499093701662
650,50062.8922836326,-23.43495029857223
750,48087.9756295526,-24.723436307907516
850,45586.79349250478,-26.132100529766507
950,44044.378888306695,-28.457848017784677
1050,40848.28958396685,-28.328490668613263
