Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3851488.5787612027,12.63389877744478
150,389501.09769860277,3.2112291490979348
250,792186.1855545108,-17.803365351099334
350,292082.6301701534,-13.769213751466962
450,643629.2208903359,-44.9645627045633
550,493495.38664941484,-44.7119325811813
650,453921.7477641649,-45.87046736288632
750,444557.2633369607,-52.25918387955072
850,379330.5214123939,-59.854439322528854
950,334472.80783605383,-53.753212274325946
1050,332659.2218161101,-62.544958543178986
