Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,19385486.90058169,-26.50254312141291
150,7219144.123033788,-57.28532297861143
250,5223150.217777693,-68.30412765686842
350,4147535.56630722,-75.63084514207652
450,3389972.6415396505,-81.0464550294044
550,2844930.7851238754,-85.01684891489728
650,2425605.6309152846,-90.07353538753948
750,2114379.7262834134,-93.2812039444074
850,1861364.302479747,-96.96413710852049
950,1704472.2400439654,-99.56724159929347
1050,1557916.5620149148,-103.07311683670632
