Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13939.761691122883,-55.96352576831134
150,2635.3180403031106,-29.565720646909025
250,2329.9811017710695,-25.72631998644227
350,2289.4001832104236,-27.16378450791067
450,2056.9752072621554,-29.67157469869337
550,1922.8154970428952,-29.390470740608517
650,1832.2455956259798,-31.72480875342491
750,1748.9241696782858,-32.600683209081026
850,1682.284251137993,-34.80025483346956
950,1638.4887125142502,-35.97230944336156
1050,1602.0288194028274,-37.02078143175532
