Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,1436304.2258722025,25.412897869179442
150,2361076.4204443484,-12.876567714304944
250,1925885.012324173,-19.837148332005118
350,1790570.1313100902,-24.724740215192185
450,1591493.2914194274,-29.064676139303653
550,1409160.1592597456,-32.17695407541892
650,1345797.5741374486,-37.60296444880779
750,1781268.0473368596,-59.20529732747132
850,1556814.2273731001,-60.768549684662595
950,1460697.414215361,-63.70830260287558
1050,1412888.7994747544,-70.75578239986002
