Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,15745150.662137274,-36.51333134442729
150,6954993.16587733,-68.17840824866585
250,4508733.649465667,-73.96765640273102
350,3377769.856011279,-78.83835958307203
450,2712453.2311641686,-82.55903688444424
550,2275642.3916466394,-85.61454374524622
650,1932545.8093607721,-88.55527229730468
750,1689370.0479804552,-90.72914251042819
850,1491387.5670847206,-93.17688854222517
950,1366727.4679846521,-94.87710309594597
1050,1258169.3917685722,-97.05338700739499
