Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13199923.080935925,-30.16904864060807
150,7789577.878525436,-66.56568287257102
250,5305313.116405867,-74.69223935906955
350,4134309.626444725,-81.63711850259435
450,3331435.881149633,-87.29634263674897
550,2812910.25426507,-92.12353229044228
650,2366766.14490068,-97.22306096837083
750,2058496.5790371404,-100.7563292060229
850,1806657.0371466838,-104.50934321910935
950,1648234.4339823222,-107.87380624849291
1050,1488637.7186282992,-111.41897221883647
