Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10632690.390722303,-61.0314540299184
150,7473030.835304781,-59.072856195479766
250,5241295.574238759,-68.02778287852878
350,4137300.3201280273,-75.05526615133371
450,3391108.8734150534,-80.03998355806085
550,2862538.134539928,-85.25055762840894
650,2440486.634058929,-89.86813979541672
750,2115006.787122155,-93.09994525408602
850,1858280.9665212955,-96.49644042392553
950,1697735.2551546318,-99.32644277798967
1050,1553575.2570314175,-102.95106251247142
