Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10959177.47756899,-53.78234879115202
150,4587424.436707101,-81.74249447150886
250,2807433.7307731146,-82.90213866992914
350,2043196.7694735283,-84.48471972842339
450,1614894.2075144213,-86.66165865042719
550,1339295.4083052857,-88.21875644709624
650,1129041.1095194581,-90.17417555214662
750,987562.8951998454,-91.58201809865967
850,871842.8398462714,-93.29542100130782
950,794973.4200907674,-94.62914163676915
1050,722340.553749941,-96.1392997557557
