Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10453153.186478289,-21.075432861695486
150,7971213.224341889,-43.47642221478572
250,5984940.176484086,-55.476675350674874
350,5565343.291636714,-71.26529625056106
450,4312676.86884017,-73.7076436117188
550,3645875.7158454526,-78.47451480755083
650,3138140.680050104,-83.64723333710498
750,2707273.597856008,-84.02362387826726
850,2373986.2749444456,-86.52358770696941
950,2165403.6344912346,-86.25354624255796
1050,1993237.8560947503,-92.3313524241617
