Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17516237.01112593,-71.72271679379159
150,6000609.617306482,-69.4445435037529
250,4195130.926997494,-77.65820572015662
350,3239480.7731967997,-82.52590713472136
450,2615587.4332011505,-87.85228968859806
550,2186674.8310125354,-91.44899510287617
650,1868236.911637204,-95.78033747489128
750,1625994.6320137088,-98.56377264167041
850,1426350.6199978518,-102.16506719744915
950,1309139.8129791974,-104.78626943127104
1050,1177730.8194085094,-107.90016126835617
