Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17418551.874760058,-25.039324998870658
150,9733120.775043882,-67.53151339509438
250,6227216.213605628,-73.32410955187386
350,5220839.915745398,-80.87560102488662
450,3996548.1661566235,-83.12519248396728
550,3337709.9937333832,-86.57633842712161
650,2822166.7760317326,-89.0674651154754
750,2471128.8099522893,-91.75994826803979
850,2179948.4441513107,-94.31850664147103
950,2011932.577415126,-96.49951527699962
1050,1819439.6374334148,-97.93961811965333
