Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14907976.60477296,1.0138417452083714
150,8535968.232516363,-53.68972479157523
250,5835973.164236175,-65.86146061178837
350,4512575.827013451,-74.28502586737892
450,3670349.678722557,-84.02966515652794
550,2936074.592483874,-87.6459775544041
650,2621691.3931365423,-93.36969976423786
750,2280133.5830265586,-96.02987134586928
850,2126157.7478124783,-100.23176654870532
950,1939324.2233340768,-102.67124231312646
1050,1762100.2700886612,-105.72535953658577
