Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11700827.683347987,-58.93889528823752
150,7543000.368177253,-60.17787013813898
250,5152158.868994875,-70.6745814074283
350,4078320.3983632587,-77.24610375492058
450,3311374.1108498396,-82.55254299530677
550,2771040.8972346955,-87.15154138501998
650,2349255.7062837156,-91.62406009113569
750,2035284.4852643134,-94.54074077885318
850,1795376.2264097375,-97.18330223796977
950,1644480.32613205,-99.96024590403924
1050,1471981.8527555622,-103.16901679558377
