Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12378056.43851459,-20.934552675761463
150,7944496.707092765,-51.40841513221867
250,5231917.00597735,-54.305142135872515
350,3865863.2451569494,-58.16249684114712
450,3154000.1573919407,-61.52049954636573
550,2699171.8913398115,-65.43190779624217
650,2401545.3091451726,-70.72435008384932
750,2378875.0064392164,-77.03601503775026
850,1814171.331222526,-74.46799900408429
950,1900048.223944289,-78.66647501859956
1050,1807010.1258471347,-85.33187529411734
