Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14542.74502309194,-79.75200771361747
150,2692.579736537446,-26.123241805729077
250,2306.814868737504,-25.663399481462307
350,2161.445593659067,-28.931303742127877
450,1982.6812187507076,-28.923094611315648
550,1880.0588436129688,-29.452531452123914
650,1802.8611563302995,-31.21737146400605
750,1781.1183657624597,-32.15424074504001
850,1664.3395469695797,-33.147693541098775
950,1718.220787220706,-33.87490533687094
1050,1605.9020711038022,-34.799645453976105
