Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,9303304.010646049,-5.048978238548226
150,6811734.999397045,-35.889163411221574
250,5043306.6605703505,-43.830704244087315
350,5348687.332334787,-66.73088459205536
450,4316828.7388567375,-73.1580815219995
550,3577504.0434961054,-75.16858998356784
650,2999703.454778337,-76.43629760333134
750,2721411.662537182,-84.64009996231036
850,2367089.6900320794,-85.28859431601278
950,2178152.464185086,-87.55767403227746
1050,1984074.0530867004,-91.2441010080336
