Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14585055.684266998,-81.56579924888281
150,5318851.262472269,-79.25174521073384
250,3427399.026194092,-78.72712390898194
350,2562488.0104978243,-80.75979360609023
450,2060418.544573218,-83.05632695419207
550,1741881.0530978737,-85.29258459657738
650,1475962.5388125516,-87.57501548217436
750,1299721.1633859186,-89.88401091521612
850,1148627.4051400488,-92.32857640840675
950,1056070.497091113,-93.9659164216156
1050,957907.50781502,-96.0126776773901
