Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3937941.499466829,10.947236385361144
150,4203581.599998274,-23.343830224927252
250,3666336.7082695677,-32.15560259392423
350,3050783.7083395193,-39.8649430416461
450,2719009.0857012887,-48.030862733322934
550,2424329.8719170922,-54.47509261320248
650,2163794.316488067,-60.91666096135364
750,1973518.1241020109,-66.30912625349612
850,1773684.8977437008,-70.25069616013114
950,1643973.2659566493,-72.48998764876929
1050,1516592.5054566811,-75.67709055476776
