Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,21392349.647883203,-73.72609547680254
150,7737364.617881604,-81.09216704788393
250,4844031.033510084,-84.41463258301366
350,3553910.640401211,-87.34889298332688
450,2814467.5203752993,-89.3879582662649
550,2357916.688723511,-92.15497346425987
650,1990046.5654337974,-94.38734890947353
750,1729921.857687615,-96.17575072687627
850,1515213.4308084992,-98.30010671910114
950,1389157.0681090548,-99.67140561291069
1050,1252293.8705411847,-102.05793177325091
