Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,1622519.808450969,24.168752993574714
150,811197.6357511466,0.6226496928956253
250,1513388.0148566847,-12.292064441677873
350,1252725.384039085,-27.369918040456646
450,705891.4458286709,-49.58848254118572
550,320453.6877401795,-64.72900566230105
650,81770.73217012199,-81.02825711436898
750,79724.29659122761,45.482427841296364
850,182665.8300150136,19.756275051648828
950,242479.6751154186,0.6083335455359099
1050,318741.53077069134,-16.17554699441931
