Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,206205.8086859024,-24.159325529471193
150,154452.76835648777,-25.613597732264207
250,137956.03517990556,-28.044560866595052
350,128181.46943136142,-31.021084276739952
450,121668.41395581106,-34.358009222996536
550,115801.63114415784,-37.53954379189032
650,109900.44526216642,-40.93974902690437
750,105886.72002713506,-44.09499447896232
850,101801.42549453676,-47.47993498905121
950,99005.17241934952,-49.91585211118346
1050,95376.9218727935,-53.37808476947493
