Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3798580.164031932,-39.02290604043514
150,366905.31203538267,-26.489969763409547
250,288299.4374086682,-21.819106399374977
350,255307.5501224915,-17.78625090266463
450,222464.15051268283,-16.394685360739054
550,212640.93680331577,-13.486451367296262
650,201626.20060737862,-17.016078399663336
750,187620.65485990915,-16.099593318537874
850,333618.1078752626,-45.68263949511198
950,313249.9983662832,-50.8346941625305
1050,289059.1207628728,-53.95578576616308
