Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,23640106.53465936,-33.926680359353455
150,14291600.26116733,-57.946727525238906
250,9192498.107729888,-71.0936360098806
350,7201652.236304662,-80.25556889137856
450,5724326.465954168,-90.8693073951585
550,4695951.592444909,-95.62682530456401
650,3896201.753012521,-99.39105822056035
750,3393896.3247672836,-104.89943814238659
850,2933491.7536586486,-109.24357303953815
950,2669181.918493979,-112.73624313303122
1050,2320884.120604245,-117.48339719512308
