Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5979362.082714636,-13.376192588245921
150,4115872.4500451745,-49.40394633774666
250,2976604.4887628183,-61.11518100802415
350,2290741.1592847216,-66.47063734193857
450,1866123.5380490646,-70.07654851689149
550,1588991.6147337195,-73.55868596047614
650,1365011.4113888112,-76.85255105581759
750,1212527.4950502191,-79.80061556195028
850,1077959.9602157595,-82.35752313805506
950,998172.620417799,-84.29735355755669
1050,913381.4441220724,-86.29063377560887
