Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,18041936.842021722,-20.189341736924796
150,6528236.255962313,-59.72507778194134
250,4413026.04417197,-69.6104726527526
350,3557193.0849708566,-75.84644513810707
450,2884693.6531589683,-82.66987211678213
550,2459579.3199448995,-86.70365574187728
650,2092974.8294058838,-92.2789215167239
750,1829328.8422148963,-95.46257623943787
850,1595108.1516458027,-98.9315288517476
950,1471175.1934181734,-101.91709820322593
1050,1339325.6007863376,-105.6050174635392
