Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,16149825.052142376,-45.85885466188191
150,7773023.258298791,-57.96970202388819
250,5157465.127524959,-64.8070920530552
350,3993608.143072825,-73.22401568908725
450,3159376.414325174,-75.79412749646369
550,2690867.549617571,-80.43878227940529
650,2236720.5976094543,-81.32488458289419
750,1962048.2417328665,-83.78277317222981
850,1747431.5394150815,-86.93674338680007
950,1637244.96518751,-89.54999822652975
1050,1490295.6171206597,-91.44818402998159
