Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,9527892.854571234,-54.27907573000104
150,3839913.4899028484,-79.17787285621596
250,2406252.6350473864,-80.64335716764066
350,1778017.102829763,-82.51177568616768
450,1412933.5530291025,-84.42215366278853
550,1180188.8527325331,-86.21077067173674
650,1000104.2831348068,-88.11023673500405
750,878419.5862519382,-89.75371361218069
850,776258.3712409809,-91.50546672630942
950,715253.3151190456,-92.79680338628405
1050,650771.354951334,-94.45329725487217
