Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3888040.933308623,-5.658327686310769
150,1007221.3350296277,7.696098382495884
250,875045.8520718213,-25.781221839495046
350,706242.4715636999,-41.95773598059477
450,274354.1640517044,-9.380634076498039
550,256050.04866760844,-13.332119515947811
650,456065.3573915104,-53.531697788913405
750,446829.7869787761,-61.093939997795125
850,386722.2988610617,-58.6438535068249
950,375050.87580811186,-57.435537180111645
1050,374039.9578336819,-62.1448775883922
