Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20625601.004813608,-23.08728590859617
150,7651764.704946583,-64.1908534455985
250,5313942.317767706,-74.18533719151584
350,4144177.3250648566,-80.29663680468066
450,3342512.045398808,-86.87910772653196
550,2793349.038382715,-92.0422546589393
650,2347812.995801389,-97.08929673875454
750,2058063.6153784262,-100.72536223123548
850,1803716.2732836488,-104.423031947504
950,1645697.4857257633,-107.93720101250301
1050,1491313.9363374964,-111.62543947197285
