Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,37599241.22351009,-47.946764577579046
150,18652847.593894515,-67.22747072882149
250,11536687.107545974,-75.70726276483455
350,8856981.603482477,-86.75761492186476
450,6852449.165739048,-91.77950462524522
550,5719963.116704714,-98.50317487329741
650,4729401.332407161,-103.89128953803555
750,4108500.6896795314,-108.7331805212207
850,3585380.4880710198,-115.15312635348546
950,3248638.730512439,-118.56472315161041
1050,2896405.453059288,-122.62003942463777
