Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11794996.975792341,-75.7524913534409
150,4314134.752989128,-81.99958232657688
250,2651596.9140930576,-83.8951294658938
350,1927941.2167138138,-85.69259143040024
450,1520702.545239923,-87.28795358010724
550,1258414.3529597851,-88.70685861943856
650,1056616.2194945882,-90.14534656827234
750,921162.8671144008,-91.56986921779462
850,808857.852073823,-92.89416669021404
950,742083.6644815954,-94.11522049236338
1050,673323.6930757802,-95.39887817218289
