Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,7872226.384480518,-32.63244427818125
150,4673445.553756404,-42.18281169629787
250,3763628.9598218435,-46.348992702932954
350,2943686.662897467,-50.02772939318842
450,2449586.4318867666,-53.5894898448339
550,2266874.006835616,-59.53209927878038
650,2068251.0663998043,-64.89772250691914
750,1913006.7757607133,-70.16448547574002
850,1760168.2352049476,-75.60257996847162
950,1648421.3597274432,-78.66894063974335
1050,1555652.6619254232,-84.39962098775237
