Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,6577073.720785714,-14.942499460073343
150,4290555.360222559,-52.268761083945336
250,2975823.0443750056,-60.849965941953805
350,2290149.584311443,-66.49668324878296
450,1870505.696147408,-70.17404946585602
550,1591307.6210344576,-73.83565720196505
650,1365857.3392488225,-76.9198684328833
750,1210151.057109355,-79.56443753693571
850,1077630.7745047333,-82.2953063563386
950,997740.6081737736,-84.2428914973606
1050,909527.961424601,-85.45245080236255
