Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10923238.50329122,-55.58716794158128
150,4549678.206756602,-81.20618377562384
250,2851676.8102920353,-80.27419203797263
350,2110841.088531609,-80.43245439713604
450,1712081.3657582998,-81.38216770670618
550,1440369.8684513508,-82.5073271852049
650,1240594.982640383,-84.37296277381837
750,1109851.9538548181,-85.99093265410143
850,986700.3852398728,-87.79984554623535
950,918760.7888583979,-89.33966729217708
1050,837319.9618671034,-91.09728659927316
