Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5982748.721591106,-3.239301509281195
150,198284.03701463374,-18.261016146166646
250,274783.91756591137,-26.083104254492127
350,307786.7325581674,-24.10688055919338
450,307150.998868785,-25.69432386163232
550,195036.9733265857,-31.786496311646086
650,258598.13548963593,-38.1664724813061
750,235942.4141995306,-42.71251054714723
850,171697.00727547836,-47.160152061466
950,232299.5070434533,-55.342666801018126
1050,215263.66782946984,-53.409633210216015
