Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4022281.1207469846,-11.183305880549142
150,3532269.152243064,-23.081181729555134
250,3119758.8611825197,-30.154569943821723
350,2891033.9256036147,-40.32138513576513
450,2540636.472083481,-48.099165973051534
550,2251902.2366177198,-53.98677271495464
650,2035455.4353861609,-61.00046832043677
750,1880132.8856557442,-67.35239697616927
850,1702784.48802446,-72.36935992358481
950,1584540.4973409092,-75.23935902308376
1050,1447343.4191778463,-77.53726012793719
