Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17469236.36476977,-24.614863683702577
150,8120628.017132915,-62.51638177404314
250,5635785.301500275,-71.91024522783816
350,4339044.020075682,-78.04276532590299
450,3958975.061307085,-89.36748160160843
550,3311075.168766062,-93.10805238390347
650,2756787.7876193905,-96.91493504564436
750,2306984.6848909315,-101.73704553005314
850,2032395.249942387,-104.64499471601954
950,1926653.870031098,-107.38356431859944
1050,1733630.0516446687,-110.6047645389429
