Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4277914.080836912,-9.140313315758501
150,4012118.732524881,-23.115132381451154
250,3183100.105718385,-29.796126636027864
350,2374128.873377997,-31.090597724135275
450,2485388.5788145424,-43.41173826329819
550,1619166.9753516589,-36.19437402788199
650,1898037.4195137094,-52.82942031197594
750,1361952.4846218983,-44.63962284044338
850,1277572.3129973584,-49.86949779774195
950,1349779.4894690826,-58.53386724839768
1050,1311421.8947701997,-64.59113580086365
