Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20539237.84913604,-48.93717481315877
150,7846387.189571135,-64.93439423050565
250,5336679.7546524815,-74.74681120010406
350,4131821.475938272,-81.0420777766256
450,3340081.0638075788,-86.7343708078134
550,2798495.938583431,-91.99809993047874
650,2354489.7817507423,-97.37904549073689
750,2054053.7261012597,-100.75355156101999
850,1796535.5771896548,-104.62201104205491
950,1646235.751467668,-107.72495760073764
1050,1499194.261483386,-111.27286928129746
