Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,8340175.9969278425,0.930968770661971
150,6832513.041256023,-38.86285494493792
250,5095279.758705071,-50.10131684959172
350,4060643.4405223313,-60.10443082661358
450,3348526.641065043,-67.03597795888844
550,2855073.1027780944,-72.83694422361194
650,2434254.2090015328,-77.59340115635165
750,2354219.1081968555,-82.63581081273185
850,2093079.5087025326,-86.0460255779834
950,1924130.044349712,-88.2441271306725
1050,1743612.135682736,-90.87834586074797
