Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20893510.258079894,-37.423260415327256
150,13107556.283438085,-79.14820272712326
250,7166041.4509418225,-84.93208039786522
350,5576371.424370995,-86.37055399628315
450,4089940.398697505,-88.89912515420517
550,3437246.9643847323,-91.13019995453556
650,2871366.3511897456,-94.4074231479589
750,2503276.6337451944,-96.27130055580217
850,2198103.3838515556,-98.26419923257271
950,2020252.0734238196,-100.17114297469548
1050,1830655.7098093166,-101.88819870823426
