Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,19856221.80476369,-36.583886864792696
150,10437207.415383652,-74.65307295664407
250,7153068.114925411,-83.12031094795545
350,5587599.537199408,-84.7726844771838
450,4197183.3695770735,-87.28158760397308
550,3499423.7059695264,-90.30871594839927
650,2957871.519378459,-93.69196504121608
750,2599721.7975041447,-95.8138071926007
850,2264636.9268941544,-98.10832037326252
950,2087994.6575655248,-100.76649558967792
1050,1893556.3027992456,-102.4193293672298
