Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14946639.42726744,-41.53340359112326
150,7276978.5062738145,-54.07357948552289
250,5166435.68082611,-64.36581817641358
350,3900955.032272621,-70.57959322307961
450,3122194.6572834332,-74.39478568104266
550,2629586.3371943254,-77.93953862616632
650,2207536.8896545894,-80.45863681636375
750,1901596.0855839248,-81.06146098935416
850,1722960.2663072369,-86.0841666708316
950,1608389.4306172067,-88.49127637106426
1050,1455053.3285892834,-89.90395552805673
