Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14193153.788697952,-24.609291605041555
150,6252689.282965787,-48.785523780788395
250,4611295.03639981,-59.55798097641666
350,3822651.1473898743,-59.62319080266058
450,3200937.767051255,-64.3349907556688
550,2724370.8106905343,-66.06402388436501
650,2337530.6461940124,-67.45261667727239
750,2054192.6945277646,-72.4237614259604
850,1822524.4755498022,-77.74195352901312
950,1661699.5689360558,-79.69938543562012
1050,1527319.6176763778,-83.4826445889131
