Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11994288.188788213,-81.58535579425184
150,4314819.30608714,-79.55260127292794
250,2716647.85030332,-80.91021743433485
350,2012929.6759027552,-83.35954800750002
450,1608175.7155190099,-85.99190421887347
550,1345476.6319151116,-88.30895693121722
650,1142820.0526432358,-90.81828670194378
750,1004495.2091731731,-93.15762288552368
850,887785.6577358345,-95.47202751301475
950,814100.6039154739,-97.12894880270345
1050,743580.4793878131,-99.3212683733765
