Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20822693.458866615,-22.525267787685024
150,12393880.351070106,-70.98388005241404
250,7252838.726694125,-74.41203726604672
350,5476208.0187556725,-81.54296244465563
450,4155990.6081300466,-84.68009179283139
550,3435606.6595249777,-88.445845786538
650,2939870.062338076,-91.77117276134975
750,2538799.1499412702,-95.46831906267354
850,2219957.537505431,-97.83625073997811
950,2019909.569160969,-99.98629622497434
1050,1811345.1902761878,-101.8309662173525
