Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17206744.769018248,-76.87012415698017
150,6355521.962269119,-84.00205449115597
250,3921405.9124099677,-86.5121343515595
350,2867470.3822312388,-89.3661338858952
450,2287313.7327213255,-92.04828508344171
550,1906821.7808879137,-94.57777711128229
650,1608850.4932248422,-96.87080926050217
750,1405198.6063208485,-98.8999293810564
850,1231062.1733569037,-101.0347737270881
950,1132587.5209139972,-102.67258437867078
1050,1033528.9320855767,-104.93697437883988
