Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,22085777.52623942,-48.95667179184259
150,8711912.241311807,-53.059329613893134
250,5429586.786044426,-52.60767234831825
350,4050127.5744709484,-52.89876857481793
450,3216640.001707854,-54.46720554008508
550,2733526.7555976408,-58.56033612504432
650,2341907.181808754,-59.86713566877784
750,2088173.194431518,-66.06264698683708
850,1842588.8934635874,-72.54150654121855
950,1657591.8338636062,-72.0030262979906
1050,2063276.1680364618,-107.2600700563971
